item,2027,2028
M (natural mortality),0.0593376694008747,0.0593376694008747
Tier,3b,3b
Projected total biomass (t),NA,NA
Projected female spawning biomass (t),31465.0264297474,29387.7616599009
B100%,80956.0225299219,80956.0225299219
B40%,32382.3588417781,32382.3588417781
B35%,28334.6356895099,28334.6356895099
FOFL,0.0735975709498667,0.0735975709498667
maxFABC,0.0607368243068879,0.0564264737778875
FABC,0.0612990637030195,0.0611151212195268
OFL (t),4758.85754875529,4463.07745341224
maxABC (t),4043.96770831642,3569.77703739063
ABC (t),4400.56814911718,4144.08496695516
